cluster,subject,0
0,afastamento-aecio,155
0,impeachment-dilma,2
1,afastamento-aecio,2
1,impeachment-dilma,321
2,afastamento-aecio,1
2,reforma-previdencia,158
2,reforma-trabalhista,116
2,soltura-lula,1
3,prisao-lula,146
3,soltura-lula,95
4,reforma-previdencia,1
4,reforma-trabalhista,197
5,afastamento-aecio,22
5,impeachment-dilma,51
5,prisao-lula,179
5,reforma-previdencia,11
5,reforma-trabalhista,62
5,soltura-lula,96
6,reforma-previdencia,77
6,reforma-trabalhista,13
