,fileid,cluster,journal,subject
525,g1.globo.com___economia_noticia_nova-lei-trabalhista-veja-pontos-que-precisam-de-negociacao-para-entrar-em-vigor.ghtml.txt,4,g1,reforma-trabalhista
526,g1.globo.com___economia_noticia_numero-de-acoes-judiciais-dispara-na-vespera-da-mudanca-da-lei-trabalhista.ghtml.txt,4,g1,reforma-trabalhista
527,g1.globo.com___economia_noticia_reforma-trabalhista-cria-limite-para-terceirizacao-entenda-as-regras.ghtml.txt,4,g1,reforma-trabalhista
528,g1.globo.com___economia_noticia_reforma-trabalhista-e-aprovada-no-senado-confira-o-que-muda-na-lei.ghtml.txt,4,g1,reforma-trabalhista
529,g1.globo.com___economia_noticia_reforma-trabalhista-e-boa-para-os-consumidores-diz-roberto-setubal.ghtml.txt,5,g1,reforma-trabalhista
530,g1.globo.com___economia_noticia_reforma-trabalhista-e-publicada-no-diario-oficial-da-uniao.ghtml.txt,4,g1,reforma-trabalhista
531,g1.globo.com___economia_noticia_reforma-trabalhista-opoe-cni-e-cut-veja-o-que-pensam-empresarios-e-trabalhadores.ghtml.txt,4,g1,reforma-trabalhista
532,g1.globo.com___economia_noticia_reforma-trabalhista-vai-gerar-2-milhoes-de-empregos-em-dois-anos-diz-ministro.ghtml.txt,4,g1,reforma-trabalhista
533,g1.globo.com___economia_noticia_reforma-trabalhista-veja-ajustes-que-governo-deve-fazer-na-lei-que-comeca-a-vigora-neste-sabado.ghtml.txt,4,g1,reforma-trabalhista
534,g1.globo.com___economia_noticia_uruguai-questiona-nova-lei-trabalhista-brasileira-e-quer-discutir-tema-no-mercosul.ghtml.txt,4,g1,reforma-trabalhista
535,g1.globo.com___fato-ou-fake_noticia_2019_11_11_e-fake-que-apresentadoras-e-reporteres-da-globo-usaram-vermelho-apos-lula-sair-da-prisao.ghtml.txt,5,g1,soltura-lula
536,g1.globo.com___fato-ou-fake_noticia_2019_11_11_e-fake-que-video-mostre-toffoli-comemorando-em-festa-apos-decisao-do-stf-contra-prisao-em-segunda-instancia.ghtml.txt,5,g1,soltura-lula
537,g1.globo.com___goias_noticia_manifestantes-impedem-circulacao-de-onibus-do-eixo-anhanguera-em-goiania.ghtml.txt,5,g1,reforma-trabalhista
538,g1.globo.com___jornal-nacional_noticia_2016_06_pericia-conclui-que-dilma-nao-participou-de-pedaladas-fiscais.html.txt,1,g1,impeachment-dilma
539,g1.globo.com___jornal-nacional_noticia_2017_03_brasil-tem-dia-de-protestos-contra-reformas-trabalhista-e-da-previdencia.html.txt,5,g1,reforma-trabalhista
540,g1.globo.com___jornal-nacional_noticia_2017_04_conheca-principais-mudancas-propostas-pelas-reformas.html.txt,4,g1,reforma-trabalhista
541,g1.globo.com___jornal-nacional_noticia_2017_05_aecio-neves-e-afastado-da-funcao-de-senador-e-deixa-presidencia-do-psdb.html.txt,0,g1,afastamento-aecio
542,g1.globo.com___jornal-nacional_noticia_2017_05_joesley-pede-para-nomear-presidente-da-vale-em-troca-de-dinheiro-aecio.html.txt,0,g1,afastamento-aecio
543,g1.globo.com___jornal-nacional_noticia_2017_07_senadoras-da-oposicao-ocupam-mesa-do-plenario-e-impedem-votacao.html.txt,2,g1,reforma-trabalhista
544,g1.globo.com___jornal-nacional_noticia_2017_10_assessoria-de-aecio-divulga-audio-de-andrea-neves-com-joesley.html.txt,0,g1,afastamento-aecio
545,g1.globo.com___jornal-nacional_noticia_2017_11_reforma-trabalhista-tambem-traz-mudancas-para-acoes-na-justica.html.txt,4,g1,reforma-trabalhista
546,g1.globo.com___jornal-nacional_noticia_2017_11_veja-os-principais-pontos-das-novas-regras-da-reforma-trabalhista.html.txt,4,g1,reforma-trabalhista
547,g1.globo.com___jornal-nacional_noticia_2018_04_prisao-de-lula-e-consequencia-da-condenacao-no-caso-do-triplex.html.txt,3,g1,prisao-lula
548,g1.globo.com___jornal-nacional_noticia_2018_07_lula-e-mais-seis-sao-absolvidos-da-acusacao-de-obstrucao-de-justica.html.txt,5,g1,prisao-lula
