cluster,subject,0
0,impeachment-dilma,6
0,prisao-lula,291
0,reforma-trabalhista,1
0,soltura-lula,158
1,afastamento-aecio,180
1,impeachment-dilma,368
1,prisao-lula,33
1,reforma-previdencia,137
1,reforma-trabalhista,144
1,soltura-lula,34
2,reforma-previdencia,108
2,reforma-trabalhista,16
3,prisao-lula,1
3,reforma-previdencia,2
3,reforma-trabalhista,227
