cluster,journal,0
0,elpais,16
0,epoca,22
0,estadao,13
0,folha,12
0,g1,20
0,istoe,33
0,oglobo,20
0,veja,21
1,elpais,41
1,epoca,35
1,estadao,38
1,folha,35
1,g1,42
1,istoe,45
1,oglobo,45
1,veja,42
2,elpais,27
2,epoca,46
2,estadao,37
2,folha,47
2,g1,25
2,istoe,44
2,oglobo,22
2,veja,28
3,elpais,37
3,epoca,12
3,estadao,34
3,folha,31
3,g1,35
3,istoe,24
3,oglobo,24
3,veja,44
4,elpais,16
4,epoca,31
4,estadao,23
4,folha,21
4,g1,36
4,istoe,13
4,oglobo,31
4,veja,27
5,elpais,55
5,epoca,48
5,estadao,55
5,folha,63
5,g1,42
5,istoe,60
5,oglobo,45
5,veja,53
6,elpais,18
6,epoca,9
6,estadao,13
6,folha,10
6,g1,12
6,istoe,4
6,oglobo,14
6,veja,10
