cluster,journal,0
0,elpais,60
0,epoca,36
0,estadao,70
0,folha,61
0,g1,52
0,istoe,47
0,oglobo,51
0,veja,79
1,elpais,111
1,epoca,117
1,estadao,101
1,folha,110
1,g1,106
1,istoe,153
1,oglobo,98
1,veja,100
2,elpais,20
2,epoca,15
2,estadao,16
2,folha,20
2,g1,18
2,istoe,7
2,oglobo,16
2,veja,12
3,elpais,19
3,epoca,35
3,estadao,26
3,folha,28
3,g1,36
3,istoe,16
3,oglobo,36
3,veja,34
