url,subject,journal
http://www1.folha.uol.com.br/poder/2016/04/1757067-em-resposta-a-editorial-da-folha-dilma-diz-que-jamais-renunciara.shtml,impeachment-dilma,folha
http://www1.folha.uol.com.br/poder/2016/08/1809106-leia-na-integra-o-discurso-de-dilma-rousseff-apos-o-impeachment.shtml,impeachment-dilma,folha
https://veja.abril.com.br/politica/camara-aprova-processo-de-impeachment-contra-dilma-rousseff/,impeachment-dilma,veja
https://veja.abril.com.br/politica/senado-encerra-mandato-de-dilma-e-fecha-ciclo-de-poder-do-pt/,impeachment-dilma,veja
https://veja.abril.com.br/blog/reinaldo/planalto-vaza-carta-de-temer-a-dilma-da-tiro-no-proprio-pe-e-esquenta-clima-pro-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/senado-afasta-dilma-do-planalto-e-interrompe-o-projeto-de-poder-petista/,impeachment-dilma,veja
https://veja.abril.com.br/politica/entenda-o-passo-a-passo-do-processo-de-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/grampos-revelam-golpe-de-lula-e-dilma-contra-lava-jato-e-multidao-volta-as-ruas/,impeachment-dilma,veja
https://veja.abril.com.br/politica/renan-rejeita-brincadeira-de-maranhao-e-da-sequencia-ao-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/na-comissao-do-impeachment-juristas-acusam-dilma-sobram-crimes-de-responsabilidade/,impeachment-dilma,veja
https://veja.abril.com.br/politica/dilma-declara-guerra-do-pt-a-temer-e-afirma-nos-voltaremos/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/bolsonaro-nao-representa-quem-defende-o-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/acusacao-entrega-alegacoes-finais-antes-do-prazo-para-acelerar-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/teori-autoriza-inquerito-contra-dilma-por-obstrucao-de-justica/,impeachment-dilma,veja
https://veja.abril.com.br/politica/defesa-de-dilma-apresenta-recursos-contra-processo-de-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/renan-intervencao-contra-indiciamento-de-gleisi-foi-transparente/,impeachment-dilma,veja
https://veja.abril.com.br/politica/manifestantes-saem-as-ruas-em-10-estados-e-no-distrito-federal/,impeachment-dilma,veja
https://veja.abril.com.br/politica/as-vesperas-da-votacao-do-impeachment-dilma-sofre-dura-derrota-no-stf/,impeachment-dilma,veja
https://veja.abril.com.br/politica/teori-nega-acao-em-que-dilma-queria-anular-votacao-do-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/e-um-golpe-diz-vice-procuradora-da-republica-sobre-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/defesa-e-acusacao-terao-direito-a-6-testemunhas-cada-diz-lewandowski/,impeachment-dilma,veja
https://veja.abril.com.br/politica/quatro-caminhoes-fazem-mudanca-de-dilma-para-porto-alegre/,impeachment-dilma,veja
https://veja.abril.com.br/politica/collor-critica-dois-pesos-e-duas-medidas-para-beneficiar-dilma/,impeachment-dilma,veja
https://veja.abril.com.br/politica/no-planalto-dilma-faz-discurso-de-militante-nao-vai-ter-golpe/,impeachment-dilma,veja
https://veja.abril.com.br/politica/pp-anuncia-maioria-contra-dilma-e-desembarca-do-governo/,impeachment-dilma,veja
https://veja.abril.com.br/politica/prb-decide-votar-pelo-impeachment-de-dilma/,impeachment-dilma,veja
https://veja.abril.com.br/politica/supremo-decide-nesta-quarta-o-rito-do-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/ato-contra-impeachment-termina-em-quebra-quebra-na-paulista/,impeachment-dilma,veja
https://veja.abril.com.br/politica/dilma-chama-temer-e-cunha-de-chefe-e-vice-chefe-do-golpe/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/os-ultimos-dias-de-dilma-rousseff/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/pdt-inicia-processo-de-expulsao-de-deputados-que-votaram-pelo-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/dilma-e-aecio-frente-a-frente-agora-no-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/suco-de-maracuja-na-comissao-do-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/fatiamento-e-no-minimo-bizarro-diz-mendes-sobre-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/filho-de-cabral-e-secretario-de-paes-vao-a-brasilia-votar-contra-dilma/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/governo-abre-sindicancia-para-investigar-conduta-de-cardozo-no-processo-de-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/senado-nao-vai-frear-impeachment-preve-renan/,impeachment-dilma,veja
https://veja.abril.com.br/politica/em-interrogatorio-katia-abreu-faz-defesa-da-gestao-dilma/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/manifestacoes-pro-e-contra-o-impeachment-ocorrem-em-25-estados-e-no-df/,impeachment-dilma,veja
https://veja.abril.com.br/brasil/dilma-comete-gravissimo-equivoco-ao-tratar-impeachment-como-golpe-diz-celso-de-mello/,impeachment-dilma,veja
