cluster,subject,0
0,impeachment-dilma,4
0,prisao-lula,234
0,soltura-lula,129
1,reforma-previdencia,1
2,reforma-previdencia,105
2,reforma-trabalhista,15
3,prisao-lula,1
4,afastamento-aecio,180
4,impeachment-dilma,369
4,prisao-lula,90
4,reforma-previdencia,141
4,reforma-trabalhista,373
4,soltura-lula,63
5,impeachment-dilma,1
