cluster,subject,0
0,afastamento-aecio,171
0,impeachment-dilma,370
0,prisao-lula,90
0,reforma-previdencia,144
0,reforma-trabalhista,189
0,soltura-lula,63
1,impeachment-dilma,1
2,reforma-previdencia,101
2,reforma-trabalhista,15
3,reforma-trabalhista,1
4,afastamento-aecio,3
5,reforma-previdencia,1
5,reforma-trabalhista,182
6,afastamento-aecio,1
7,impeachment-dilma,3
7,prisao-lula,235
7,soltura-lula,129
8,reforma-previdencia,1
9,afastamento-aecio,4
10,reforma-trabalhista,1
11,afastamento-aecio,1
