cluster,journal,0
0,elpais,19
0,epoca,25
0,estadao,18
0,folha,23
0,g1,29
0,istoe,68
0,oglobo,27
0,veja,30
1,oglobo,1
2,estadao,1
3,oglobo,1
4,elpais,110
4,epoca,131
4,estadao,110
4,folha,120
4,g1,116
4,istoe,104
4,oglobo,105
4,veja,106
5,elpais,18
5,epoca,9
5,estadao,13
5,folha,10
5,g1,13
5,istoe,4
5,oglobo,13
5,veja,10
6,elpais,18
6,epoca,2
6,estadao,9
6,folha,9
6,g1,22
6,istoe,16
6,oglobo,10
6,veja,20
7,elpais,45
7,epoca,36
7,estadao,62
7,folha,57
7,g1,31
7,istoe,31
7,oglobo,44
7,veja,59
8,g1,1
